latitude,longitude,location
48.8,122.53,Bellingham
47.48,122.77,Bremerton
48.5,122.33,Burlington
48.88,118.47,Colville
47.32,119.52,Ephrata
47.92,122.28,Everet/Paine
47.62,117.65,Fairchild
47.08,122.58,Fort Lewis
46.57,119.6,Hanford
46.97,123.97,Hoquiam
47.15,122.48,Mcchord AFB
47.2,119.32,Moses Lake
48.25,122.68,Oak Harbor
46.97,122.9,Olympia
48.42,119.53,Omak
46.27,119.12,Pasco
48.12,123.5,Port Angeles
48.22,123.67,Port Angeles
46.75,117.12,Pullman
47.95,124.55,Quillayute
47.5,122.22,Renton
47.45,122.3,Seattle
47.53,122.3,Seattle/Boeing
47.25,123.15,Shelton
47.63,117.53,Spokane
47.67,117.33,Spokane
47.28,121.33,Stampede Pas
47.27,122.58,Tacoma
46.48,122.8,Toledo
46.1,118.28,Walla Walla
47.4,120.2,Wenatchee
48.35,122.65,Whidbey Is
46.57,120.53,Yakima