Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
All King County,2226300,575514,  25850.69,937503,  42110.36,31576,   1418.32,2744,    123.25,816,     36.65
Algona,3190,688,  21567.40,893,  27993.73,106,   3322.88,7,    219.44,1,     31.35
Auburn,71740,16149,  22510.45,22902,  31923.61,1940,   2704.21,170,    236.97,34,     47.39
Beaux Arts Village,300,123,  41000.00,193,  64333.33,9,   3000.00,1,    333.33,0,      0.00
Bellevue,145300,28382,  19533.38,40716,  28022.02,1320,    908.47,152,    104.61,41,     28.22
Black Diamond,4525,967,  21370.17,1300,  28729.28,44,    972.38,1,     22.10,1,     22.10
Bothell,28570,5904,  20665.03,8491,  29719.99,246,    861.04,27,     94.50,14,     49.00
Boulevard Park,3723,977,  26242.28,1536,  41257.05,96,   2578.57,8,    214.88,1,     26.86
Bryn Mawr-Skyway,18347,4069,  22178.01,6353,  34626.91,294,   1602.44,22,    119.91,6,     32.70
Burien,52000,12015,  23105.77,18327,  35244.23,1053,   2025.00,112,    215.38,25,     48.08
Carnation,2220,326,  14684.68,460,  20720.72,18,    810.81,0,      0.00,0,      0.00
Clyde Hill,3055,779,  25499.18,1211,  39639.93,40,   1309.33,3,     98.20,1,     32.73
Cottage Lake,23955,4305,  17971.20,5926,  24738.05,158,    659.57,12,     50.09,5,     20.87
Covington,20280,3880,  19132.15,5312,  26193.29,305,   1503.94,24,    118.34,5,     24.65
Des Moines,31580,7166,  22691.58,11638,  36852.44,658,   2083.60,39,    123.50,6,     19.00
Duvall,7840,1493,  19043.37,2012,  25663.27,54,    688.78,1,     12.76,1,     12.76
East Renton Highlands,11745,2410,  20519.37,3424,  29152.83,110,    936.57,11,     93.66,3,     25.54
Enumclaw,12200,2471,  20254.10,3342,  27393.44,178,   1459.02,28,    229.51,25,    204.92
Fairwood,19428,3079,  15848.26,4159,  21407.25,247,   1271.36,19,     97.80,7,     36.03
Fall City,2313,361,  15607.44,476,  20579.33,15,    648.51,1,     43.23,0,      0.00
Federal Way,97840,21059,  21523.92,29793,  30450.74,2609,   2666.60,211,    215.66,44,     44.97
Hobart,7182,1064,  14814.81,1358,  18908.38,58,    807.57,6,     83.54,2,     27.85
Hunts Point,420,161,  38333.33,271,  64523.81,10,   2380.95,0,      0.00,0,      0.00
Issaquah,37590,8600,  22878.43,14365,  38214.95,354,    941.74,54,    143.66,37,     98.43
Kenmore,23320,5082,  21792.45,7385,  31668.10,212,    909.09,35,    150.09,9,     38.59
Kent,129800,27941,  21526.19,40078,  30876.73,3154,   2429.89,249,    191.83,59,     45.45
Kirkland,88940,18537,  20842.14,26188,  29444.57,875,    983.81,126,    141.67,61,     68.59
Lake Forest Park,13250,3325,  25094.34,5172,  39033.96,95,    716.98,5,     37.74,1,      7.55
Lake Holm,3254,425,  13060.85,532,  16349.11,27,    829.75,3,     92.19,0,      0.00
Lake Morton-Berrydale,11295,1374,  12164.67,1802,  15953.96,106,    938.47,8,     70.83,1,      8.85
Lakeland North,12820,2127,  16591.26,2747,  21427.46,333,   2597.50,31,    241.81,4,     31.20
Lakeland South,13849,1871,  13510.00,2497,  18030.18,270,   1949.60,23,    166.08,4,     28.88
Maple Heights-Lake Desire,3682,531,  14421.51,672,  18250.95,37,   1004.89,1,     27.16,0,      0.00
Maple Valley,26180,5071,  19369.75,6783,  25909.09,260,    993.12,12,     45.84,2,      7.64
Medina,3245,866,  26687.21,1359,  41879.82,35,   1078.58,2,     61.63,0,      0.00
Mercer Island,24470,7446,  30429.10,11624,  47503.06,216,    882.71,16,     65.39,5,     20.43
Milton,1195,245,  20502.09,349,  29205.02,18,   1506.28,1,     83.68,2,    167.36
Mirrormont,3717,502,  13505.52,675,  18159.81,24,    645.68,2,     53.81,0,      0.00
Newcastle,12450,2616,  21012.05,3799,  30514.06,77,    618.47,10,     80.32,3,     24.10
Normandy Park,6610,1673,  25310.14,2561,  38744.33,61,    922.84,1,     15.13,0,      0.00
North Bend,6965,2028,  29117.01,2923,  41966.98,90,   1292.18,2,     28.72,0,      0.00
Pacific,6875,1304,  18967.27,1728,  25134.55,133,   1934.55,13,    189.09,3,     43.64
Ravensdale,1873,297,  15856.91,348,  18579.82,29,   1548.32,0,      0.00,0,      0.00
Redmond,65860,11873,  18027.63,16063,  24389.61,496,    753.11,74,    112.36,50,     75.92
Renton,104700,23367,  22318.05,34596,  33042.98,1779,   1699.14,153,    146.13,42,     40.11
Riverbend,2302,313,  13596.87,410,  17810.60,12,    521.29,0,      0.00,0,      0.00
Sammamish,64410,11623,  18045.33,16188,  25132.74,382,    593.08,16,     24.84,8,     12.42
SeaTac,29180,7017,  24047.29,10788,  36970.53,902,   3091.16,77,    263.88,14,     47.98
Seattle,747300,243529,  32587.85,441442,  59071.59,8047,   1076.81,631,     84.44,186,     24.89
Shadow Lake,2286,299,  13079.62,388,  16972.88,19,    831.15,0,      0.00,0,      0.00
Shoreline,56370,14793,  26242.68,23470,  41635.62,759,   1346.46,113,    200.46,65,    115.31
Skykomish,205,44,  21463.41,64,  31219.51,0,      0.00,0,      0.00,0,      0.00
Snoqualmie,13670,2899,  21207.02,3907,  28580.83,121,    885.15,3,     21.95,0,      0.00
Tukwila,20930,5473,  26149.07,11511,  54997.61,702,   3354.04,38,    181.56,3,     14.33
Union Hill-Novelty Hill,22034,2512,  11400.56,3266,  14822.55,106,    481.07,16,     72.62,6,     27.23
Vashon,10036,1791,  17845.76,2367,  23585.09,25,    249.10,1,      9.96,0,      0.00
White Center,15852,2915,  18388.85,4123,  26009.34,511,   3223.57,39,    246.03,5,     31.54
Wilderness Rim,1457,226,  15511.32,305,  20933.42,10,    686.34,1,     68.63,1,     68.63
Woodinville,12410,2535,  20427.07,3489,  28114.42,120,    966.96,12,     96.70,2,     16.12
Yarrow Point,1040,343,  32980.77,549,  52788.46,11,   1057.69,0,      0.00,0,      0.00