City/Town Name,County Name,Population 2020,,,,
Aberdeen,Grays Harbor,16890.00,,,,
Airway Heights,Spokane,10010.00,,,,
Albion,Whitman,550.00,,,,
Algona,King,3210.00,,,,
Almira,Lincoln,275.00,,,,
Anacortes,Skagit,17830.00,,,,
Arlington,Snohomish,20600.00,,,,
Asotin,Asotin,1285.00,,,,
Auburn,King/Pierce,81940.00,,,,
Bainbridge Island,Kitsap,25070.00,,,,
Battle Ground,Clark,22180.00,,,,
Beaux Arts Village,King,300.00,,,,
Bellevue,King,148100.00,,,,
Bellingham,Whatcom,91610.00,,,,
Benton City,Benton,3560.00,,,,
Bingen,Klickitat,750.00,,,,
Black Diamond,King,5205.00,,,,
Blaine,Whatcom,5520.00,,,,
Bonney Lake,Pierce,21390.00,,,,
Bothell,King/Snohomish,48400.00,,,,
Bremerton,Kitsap,41750.00,,,,
Brewster,Okanogan,2420.00,,,,
Bridgeport,Douglas,2500.00,,,,A
Brier,Snohomish,6760.00,,,,
Buckley,Pierce,5080.00,,,,
Bucoda,Thurston,580.00,,,,
Burien,King,52300.00,,,,
Burlington,Skagit,9270.00,,,,
Camas,Clark,25140.00,,,,
Carbonado,Pierce,685.00,,,,
Carnation,King,2265.00,,,,
Cashmere,Chelan,3165.00,,,,
Castle Rock,Cowlitz,2235.00,,,,
Cathlamet,Wahkiakum,520.00,,,,
Centralia,Lewis,17290.00,,,,
Chehalis,Lewis,7550.00,,,,
Chelan,Chelan,4355.00,,,,
Cheney,Spokane,12640.00,,,,
Chewelah,Stevens,2715.00,,,,
Clarkston,Asotin,7220.00,,,,
Cle Elum,Kittitas,1995.00,,,,
Clyde Hill,King,3055.00,,,,
Colfax,Whitman,2840.00,,,,
College Place,Walla Walla,9780.00,,,,
Colton,Whitman,445.00,,,,
Colville,Stevens,4750.00,,,,
Conconully,Okanogan,235.00,,,,
Concrete,Skagit,760.00,,,,
Connell,Franklin,5500.00,,,,
Cosmopolis,Grays Harbor,1695.00,,,,
Coulee City,Grant,575.00,,,,
Coulee Dam,Douglas/Grant/Okanogan,1100.00,,,,
Coupeville,Island,1925.00,,,,
Covington,King,20530.00,,,,
Creston,Lincoln,225.00,,,,
Cusick,Pend Oreille,220.00,,,,
Darrington,Snohomish,1420.00,,,,
Davenport,Lincoln,1740.00,,,,
Dayton,Columbia,2565.00,,,,
Deer Park,Spokane,4485.00,,,,
Des Moines,King,32260.00,,,,
DuPont,Pierce,9525.00,,,,
Duvall,King,7950.00,,,,
East Wenatchee,Douglas,13740.00,,,,
Eatonville,Pierce,3010.00,,,,
Edgewood,Pierce,12070.00,,,,
Edmonds,Snohomish,42470.00,,,,
Electric City,Grant,1030.00,,,,
Ellensburg,Kittitas,20640.00,,,,
Elma,Grays Harbor,3410.00,,,,
Elmer City,Okanogan,290.00,,,,
Endicott,Whitman,295.00,,,,
Entiat,Chelan,1290.00,,,,
Enumclaw,King/Pierce,12610.00,,,,
Ephrata,Grant,8210.00,,,,
Everett,Snohomish,112700.00,,,,
Everson,Whatcom,2860.00,,,,
Fairfield,Spokane,635.00,,,,
Farmington,Whitman,155.00,,,,
Federal Way,King,98340.00,,,,
Ferndale,Whatcom,14600.00,,,,
Fife,Pierce,10200.00,,,,
Fircrest,Pierce,6790.00,,,,
Forks,Clallam,3680.00,,,,
Friday Harbor,San Juan,2490.00,,,,
Garfield,Whitman,600.00,,,,
George,Grant,730.00,,,,
Gig Harbor,Pierce,11240.00,,,,
Gold Bar,Snohomish,2195.00,,,,
Goldendale,Klickitat,3565.00,,,,
Grand Coulee,Grant,1055.00,,,,
Grandview,Yakima,11230.00,,,,
Granger,Yakima,4155.00,,,,
Granite Falls,Snohomish,4425.00,,,,
Hamilton,Skagit,300.00,,,,
Harrah,Yakima,680.00,,,,
Harrington,Lincoln,415.00,,,,
Hartline,Grant,155.00,,,,
Hatton,Adams,115.00,,,,
Hoquiam,Grays Harbor,8540.00,,,,
Hunts Point,King,420.00,,,,
Ilwaco,Pacific,965.00,,,,
Index,Snohomish,175.00,,,,
Ione,Pend Oreille,450.00,,,,
Issaquah,King,38690.00,,,,
Kahlotus,Franklin,165.00,,,,
Kalama,Cowlitz,2975.00,,,,
Kelso,Cowlitz,12340.00,,,,
Kenmore,King,23450.00,,,,
Kennewick,Benton,84960.00,,,,
Kent,King,130500.00,,,,
Kettle Falls,Stevens,1635.00,,,,
Kirkland,King,90660.00,,,,
Kittitas,Kittitas,1530.00,,,,
Krupp,Grant,50.00,,,,
La Center,Clark,3705.00,,,,
La Conner,Skagit,970.00,,,,
Lacey,Thurston,52910.00,,,,
LaCrosse,Whitman,310.00,,,,
Lake Forest Park,King,13280.00,,,,
Lake Stevens,Snohomish,34150.00,,,,
Lakewood,Pierce,60030.00,,,,
Lamont,Whitman,80.00,,,,
Langley,Island,1195.00,,,,
Latah,Spokane,195.00,,,,
Leavenworth,Chelan,2080.00,,,,
Liberty Lake,Spokane,11500.00,,,,
Lind,Adams,550.00,,,,
Long Beach,Pacific,1550.00,,,,
Longview,Cowlitz,38350.00,,,,
Lyman,Skagit,450.00,,,,
Lynden,Whatcom,14800.00,,,,
Lynnwood,Snohomish,40690.00,,,,
Mabton,Yakima,2330.00,,,,
Malden,Whitman,200.00,,,,
Mansfield,Douglas,330.00,,,,
Maple Valley,King,26630.00,,,,
Marcus,Stevens,175.00,,,,
Marysville,Snohomish,69180.00,,,,
Mattawa,Grant,4955.00,,,,
McCleary,Grays Harbor,1815.00,,,,
Medical Lake,Spokane,5040.00,,,,
Medina,King,3300.00,,,,
Mercer Island,King,24690.00,,,,
Mesa,Franklin,495.00,,,,
Metaline,Pend Oreille,170.00,,,,
Metaline Falls,Pend Oreille,245.00,,,,
Mill Creek,Snohomish,20590.00,,,,
Millwood,Spokane,1840.00,,,,
Milton,King/Pierce,8400.00,,,,
Monroe,Snohomish,19800.00,,,,
Montesano,Grays Harbor,4175.00,,,,
Morton,Lewis,1145.00,,,,
Moses Lake,Grant,24620.00,,,,
Mossyrock,Lewis,795.00,,,,
Mount Vernon,Skagit,36050.00,,,,
Mountlake Terrace,Snohomish,21660.00,,,,
Moxee,Yakima,4320.00,,,,
Mukilteo,Snohomish,21360.00,,,,
Naches,Yakima,995.00,,,,
Napavine,Lewis,2010.00,,,,
Nespelem,Okanogan,245.00,,,,
Newcastle,King,12870.00,,,,
Newport,Pend Oreille,2215.00,,,,
Nooksack,Whatcom,1645.00,,,,
Normandy Park,King,6625.00,,,,
North Bend,King,7455.00,,,,
North Bonneville,Skamania,1035.00,,,,
Northport,Stevens,295.00,,,,
Oak Harbor,Island,22910.00,,,,
Oakesdale,Whitman,425.00,,,,
Oakville,Grays Harbor,695.00,,,,
Ocean Shores,Grays Harbor,6690.00,,,,
Odessa,Lincoln,905.00,,,,
Okanogan,Okanogan,2665.00,,,,
Olympia,Thurston,54150.00,,,,
Omak,Okanogan,4955.00,,,,
Oroville,Okanogan,1700.00,,,,
Orting,Pierce,8635.00,,,,
Othello,Adams,8515.00,,,,
Pacific,King/Pierce,6925.00,,,,
Palouse,Whitman,1090.00,,,,
Pasco,Franklin,77100.00,,,,
Pateros,Okanogan,595.00,,,,
Pe Ell,Lewis,660.00,,,,
Pomeroy,Garfield,1405.00,,,,
Port Angeles,Clallam,19710.00,,,,
Port Orchard,Kitsap,14770.00,,,,
Port Townsend,Jefferson,9665.00,,,,
Poulsbo,Kitsap,11550.00,,,,
Prescott,Walla Walla,330.00,,,,
Prosser,Benton,6220.00,,,,
Pullman,Whitman,34850.00,,,,
Puyallup,Pierce,42700.00,,,,
Quincy,Grant,7930.00,,,,
Rainier,Thurston,2210.00,,,,
Raymond,Pacific,2910.00,,,,
Reardan,Lincoln,580.00,,,,
Redmond,King,69900.00,,,,
Renton,King,105500.00,,,,
Republic,Ferry,1105.00,,,,
Richland,Benton,58550.00,,,,
Ridgefield,Clark,9770.00,,,,
Ritzville,Adams,1660.00,,,,
Riverside,Okanogan,290.00,,,,
Rock Island,Douglas,1220.00,,,,
Rockford,Spokane,495.00,,,,
Rosalia,Whitman,560.00,,,,
Roslyn,Kittitas,900.00,,,,
Roy,Pierce,820.00,,,,
Royal City,Grant,2605.00,,,,
Ruston,Pierce,1040.00,,,,
Sammamish,King,65100.00,,,,
SeaTac,King,29180.00,,,,
Seattle,King,761100.00,,,,
Sedro-Woolley,Skagit,11890.00,,,,
Selah,Yakima,8035.00,,,,
Sequim,Clallam,7860.00,,,,
Shelton,Mason,10390.00,,,,
Shoreline,King,56980.00,,,,
Skykomish,King,205.00,,,,
Snohomish,Snohomish,10240.00,,,,
Snoqualmie,King,13680.00,,,,
Soap Lake,Grant,1575.00,,,,
South Bend,Pacific,1645.00,,,,
South Cle Elum,Kittitas,535.00,,,,
South Prairie,Pierce,500.00,,,,
Spangle,Spokane,285.00,,,,
Spokane,Spokane,223600.00,,,,
Spokane Valley,Spokane,97490.00,,,,
Sprague,Lincoln,440.00,,,,
Springdale,Stevens,320.00,,,,
St. John,Whitman,515.00,,,,
Stanwood,Snohomish,7125.00,,,,
Starbuck,Columbia,130.00,,,,
Steilacoom,Pierce,6505.00,,,,
Stevenson,Skamania,1655.00,,,,
Sultan,Snohomish,5530.00,,,,
Sumas,Whatcom,1665.00,,,,
Sumner,Pierce,10360.00,,,,
Sunnyside,Yakima,17250.00,,,,
Tacoma,Pierce,213300.00,,,,
Tekoa,Whitman,770.00,,,,
Tenino,Thurston,1850.00,,,,
Tieton,Yakima,1305.00,,,,
Toledo,Lewis,730.00,,,,
Tonasket,Okanogan,1115.00,,,,
Toppenish,Yakima,9130.00,,,,
Tukwila,King,21360.00,,,,
Tumwater,Thurston,24600.00,,,,
Twisp,Okanogan,985.00,,,,
Union Gap,Yakima,6355.00,,,,
Uniontown,Whitman,355.00,,,,
University Place,Pierce,33310.00,,,,
Vader,Lewis,630.00,,,,
Vancouver,Clark,189700.00,,,,
Waitsburg,Walla Walla,1240.00,,,,
Walla Walla,Walla Walla,34400.00,,,,
Wapato,Yakima,5055.00,,,,
Warden,Grant,2800.00,,,,
Washougal,Clark,16680.00,,,,
Washtucna,Adams,210.00,,,,
Waterville,Douglas,1195.00,,,,
Waverly,Spokane,135.00,,,,
Wenatchee,Chelan,35140.00,,,,
West Richland,Benton,15710.00,,,,
Westport,Grays Harbor,2135.00,,,,
White Salmon,Klickitat,2710.00,,,,
Wilbur,Lincoln,890.00,,,,
Wilkeson,Pierce,495.00,,,,
Wilson Creek,Grant,215.00,,,,
Winlock,Lewis,1400.00,,,,
Winthrop,Okanogan,500.00,,,,
Woodinville,King,12790.00,,,,
Woodland,Clark/Cowlitz,6480.00,,,,
Woodway,Snohomish,1360.00,,,,
Yacolt,Clark,1825.00,,,,
Yakima,Yakima,95490.00,,,,
Yarrow Point,King,1030.00,,,,
Yelm,Thurston,9400.00,,,,
Zillah,Yakima,3200.00,,,,